instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
68,277,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0.61,1
69,551,1,1,2,1,1,4,2,1,1,0,0,1,1,2,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0.83,1
70,670,1,1,2,2,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0.69,1
71,875,0,1,0,1,1,5,0,1,1,1,2,0,0,1,0,0,1,0,1,1,1,1,2,2,0,0,1,0,0,1,0.59,0
72,275,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,2,1,0,2,1,1,1,0.57,0
73,227,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,1,0,0,1,1,0.59,1
74,499,1,1,2,1,0,4,3,1,1,0,0,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,0.69,1
75,63,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1,2,2,0,0,0,0,0,1,0.8,1
76,523,1,2,3,2,1,4,2,1,1,1,2,1,1,1,1,0,2,1,2,1,2,2,1,0,1,0,2,2,1,1,0.55,1
77,248,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,2,1,1,1,0,0,2,1,0,0,1,0,1,1,0.8,1
78,428,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0.93,1
79,361,0,1,1,1,0,3,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,2,0,0,1,1,1,1,0.83,1
