instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
46,893,0,0,0,0,0,1,1,1,1,1,2,0,0,1,1,0,1,0,0,2,1,1,0,0,0,0,1,1,0,0,0.33,1
47,1165,0,1,1,1,1,1,1,0,1,1,2,1,1,3,1,0,2,1,2,1,1,1,1,1,1,0,1,1,0,0,0.02,0
48,850,0,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0.16,0
49,765,0,0,1,1,1,3,1,0,0,0,0,1,1,0,0,0,2,1,1,0,1,0,1,1,1,0,1,1,0,0,0.06,0
50,694,1,0,1,2,2,3,3,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0,1,2,1,0,1,2,0,0,0.1,0
51,76,1,1,3,1,1,3,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,2,0,0,0.18,0
52,95,0,1,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0.15,0
53,538,1,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,1,1,1,2,1,1,1,1,0,0,1,1,0,0,0.23,0
54,959,0,0,1,0,0,2,0,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,0,0,1,0,2,1,0,0,0.09,0
55,699,1,0,1,2,2,3,0,1,0,1,1,0,0,1,1,0,1,0,2,0,1,0,2,0,1,0,1,1,0,0,0.26,0
56,326,0,0,1,1,1,3,0,0,0,0,0,1,1,3,1,0,2,1,2,0,0,0,0,0,1,0,2,2,1,0,0.07,0
57,910,1,1,2,1,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,2,0,0,1,0,2,1,0,0,0.29,0
58,444,0,1,1,0,0,4,1,1,1,1,0,1,1,2,1,0,2,1,2,1,1,1,2,1,0,0,2,1,0,0,0.18,0
59,596,0,1,1,1,1,3,1,1,1,0,1,1,1,1,1,0,1,1,2,1,0,0,1,1,1,0,1,1,0,0,0.07,0
60,733,0,1,1,1,1,3,1,1,0,0,0,1,1,3,1,0,1,1,2,0,0,0,1,0,1,0,1,1,0,0,0.03,0
61,422,0,0,0,1,1,4,1,1,0,0,0,1,1,2,1,1,2,1,2,1,1,1,1,1,1,0,2,1,0,0,0.04,0
62,183,0,1,1,1,1,2,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,2,2,0,1,1,1,0,0,0.3,0
63,872,0,0,1,0,0,3,1,0,1,1,2,1,1,1,1,1,2,1,2,0,1,1,1,0,1,0,2,2,0,0,0.06,0
64,83,1,1,1,2,2,4,1,1,0,0,0,0,0,1,1,1,1,1,2,1,0,1,1,1,1,0,2,1,0,0,0.25,0
65,255,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,1,1,0,0,0.25,0
66,716,0,1,2,1,1,3,0,0,1,0,1,0,0,3,1,1,0,1,1,1,0,1,2,2,0,0,1,1,0,0,0.25,0
67,828,0,0,2,1,1,2,2,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,1,2,0,1,1,2,1,0,0.28,0
68,60,1,1,0,1,1,4,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,2,0,0,2,2,0,0,0.32,0
69,833,0,1,1,1,1,2,1,0,0,0,0,0,0,2,0,0,0,1,2,2,1,1,1,1,0,0,1,1,0,0,0.3,0
70,201,1,0,0,1,0,3,0,1,1,1,2,1,1,3,1,1,2,1,2,1,0,1,2,2,1,0,1,1,1,0,0.29,1
71,1031,0,0,1,1,1,3,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,1,0,0,0.35,0
72,221,1,2,1,2,1,2,1,1,0,1,2,1,1,1,1,0,1,1,2,1,1,1,1,0,1,0,1,2,1,0,0.37,1
73,319,1,1,1,1,1,1,2,1,1,0,0,1,1,2,1,0,2,1,2,0,1,0,1,0,1,0,2,2,0,0,0.11,0
74,543,1,0,1,0,0,4,1,1,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,1,0,0,1,1,0,0,0.34,0
75,841,1,0,0,0,0,2,1,1,0,1,2,1,1,2,1,0,2,1,2,1,1,1,0,0,1,0,1,1,0,0,0.01,0
76,766,0,0,2,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,1,0,1,0,1,1,0,0,0.36,0
77,188,0,2,1,0,0,3,0,0,1,0,1,0,1,1,1,0,2,1,2,1,1,1,1,1,1,0,1,1,1,0,0.32,0
78,678,1,2,1,1,1,3,0,1,0,0,0,1,1,2,1,0,2,1,2,1,0,0,1,0,1,0,2,2,1,0,0.16,0
79,202,1,2,1,2,2,1,1,0,0,0,1,1,0,1,0,0,2,1,1,0,1,1,2,2,0,0,1,1,0,0,0.37,0
80,1168,1,0,0,1,1,2,1,1,1,1,2,1,1,2,1,0,1,1,1,1,1,1,0,0,1,0,1,2,1,0,0.39,0
81,952,0,0,0,1,1,3,1,1,0,0,1,1,0,1,1,0,2,1,2,1,0,2,0,1,1,0,1,1,0,0,0.28,0
82,470,1,0,0,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,0,2,1,0,0,0.36,1
83,1121,0,1,1,2,2,1,2,1,0,0,0,1,1,1,1,1,2,1,2,1,0,1,0,1,1,0,2,2,0,0,0.14,0
84,747,1,0,3,1,1,2,2,1,1,1,2,1,1,3,1,0,1,1,1,1,1,0,0,1,1,0,1,2,0,0,0.08,0
85,1148,0,0,1,0,0,2,0,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,1,1,1,0,2,1,0,0,0.08,0
86,376,0,1,1,1,1,3,0,0,0,1,2,1,1,1,1,0,2,1,2,0,1,0,1,0,1,0,1,1,0,0,0.07,0
87,401,0,2,0,0,0,5,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,1,2,1,0,2,2,1,0,0.26,0
88,796,1,2,1,2,2,1,3,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,2,1,0,0,1,1,0,0,0.31,1
89,1123,0,1,1,0,0,2,3,0,0,1,2,1,1,1,1,0,1,1,1,1,2,1,1,1,1,0,1,1,1,0,0.29,0
90,732,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,0,2,1,2,1,1,1,1,0,1,1,1,1,0,0,0.06,0
91,234,1,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,2,2,0,0,0.24,1
92,1164,1,0,1,1,1,2,2,1,0,1,1,1,1,3,1,1,1,1,2,1,1,1,0,0,1,0,1,1,1,0,0.23,0
